log_id,date,machine_id,product,shift,planned_time_min,downtime_min,operating_time_min,ideal_cycle_time,total_parts,good_parts,defective_parts,availability,performance,quality,oee
1,2023-01-01,CNC-01,Part-B,Morning,480,81,399,1.67,223,202,21,0.8313,0.9334,0.9058,0.7028
2,2023-01-01,CNC-01,Part-D,Afternoon,480,94,386,1.65,218,204,14,0.8042,0.9319,0.9358,0.7013
3,2023-01-01,CNC-01,Part-A,Night,480,4,476,1.54,248,232,16,0.9917,0.8024,0.9355,0.7444
4,2023-01-01,CNC-02,Part-B,Morning,480,71,409,1.8,207,194,13,0.8521,0.911,0.9372,0.7275
5,2023-01-01,CNC-02,Part-B,Afternoon,480,57,423,2.38,169,148,21,0.8812,0.9509,0.8757,0.7338
6,2023-01-01,CNC-02,Part-C,Night,480,89,391,2.13,150,135,15,0.8146,0.8171,0.9,0.599
7,2023-01-01,LATHE-01,Part-C,Morning,480,13,467,1.64,220,214,6,0.9729,0.7726,0.9727,0.7311
8,2023-01-01,LATHE-01,Part-D,Afternoon,480,103,377,1.57,207,185,22,0.7854,0.862,0.8937,0.605
9,2023-01-01,LATHE-01,Part-C,Night,480,10,470,2.33,193,182,11,0.9792,0.9568,0.943,0.8835
10,2023-01-01,LATHE-02,Part-C,Morning,480,73,407,1.79,174,165,9,0.8479,0.7653,0.9483,0.6153
11,2023-01-01,LATHE-02,Part-D,Afternoon,480,10,470,2.78,163,150,13,0.9792,0.9641,0.9202,0.8687
12,2023-01-01,LATHE-02,Part-C,Night,480,81,399,2.75,114,104,10,0.8313,0.7857,0.9123,0.5959
13,2023-01-01,PRESS-01,Part-B,Morning,480,89,391,2.9,122,115,7,0.8146,0.9049,0.9426,0.6948
14,2023-01-01,PRESS-01,Part-B,Afternoon,480,68,412,2.59,125,115,10,0.8583,0.7858,0.92,0.6205
15,2023-01-01,PRESS-01,Part-A,Night,480,87,393,1.99,186,164,22,0.8187,0.9418,0.8817,0.6798
16,2023-01-01,WELD-01,Part-C,Morning,480,103,377,1.97,156,140,16,0.7854,0.8152,0.8974,0.5746
17,2023-01-01,WELD-01,Part-D,Afternoon,480,27,453,2.48,155,151,4,0.9437,0.8486,0.9742,0.7802
18,2023-01-01,WELD-01,Part-C,Night,480,18,462,1.9,197,185,12,0.9625,0.8102,0.9391,0.7323
19,2023-01-01,WELD-02,Part-B,Morning,480,95,385,2.38,157,145,12,0.8021,0.9705,0.9236,0.719
20,2023-01-01,WELD-02,Part-A,Afternoon,480,17,463,2.26,158,139,19,0.9646,0.7712,0.8797,0.6544
21,2023-01-01,WELD-02,Part-A,Night,480,19,461,2.44,179,165,14,0.9604,0.9474,0.9218,0.8387
22,2023-01-02,CNC-01,Part-A,Morning,480,49,431,2.07,208,195,13,0.8979,0.999,0.9375,0.8409
23,2023-01-02,CNC-01,Part-C,Afternoon,480,87,393,2.58,140,131,9,0.8187,0.9191,0.9357,0.7041
24,2023-01-02,CNC-01,Part-D,Night,480,98,382,2.46,120,111,9,0.7958,0.7728,0.925,0.5689
25,2023-01-02,CNC-02,Part-B,Morning,480,0,480,2.93,158,143,15,1.0,0.9645,0.9051,0.873
26,2023-01-02,CNC-02,Part-B,Afternoon,480,64,416,2.87,140,127,13,0.8667,0.9659,0.9071,0.7594
27,2023-01-02,CNC-02,Part-A,Night,480,19,461,2.06,176,173,3,0.9604,0.7865,0.983,0.7425
28,2023-01-02,LATHE-01,Part-C,Morning,480,76,404,1.99,153,150,3,0.8417,0.7536,0.9804,0.6219
29,2023-01-02,LATHE-01,Part-A,Afternoon,480,30,450,1.59,274,269,5,0.9375,0.9681,0.9818,0.8911
30,2023-01-02,LATHE-01,Part-B,Night,480,93,387,2.23,133,128,5,0.8063,0.7664,0.9624,0.5947
31,2023-01-02,LATHE-02,Part-D,Morning,480,16,464,2.49,183,164,19,0.9667,0.982,0.8962,0.8508
32,2023-01-02,LATHE-02,Part-C,Afternoon,480,27,453,2.89,147,140,7,0.9437,0.9378,0.9524,0.8429
33,2023-01-02,LATHE-02,Part-D,Night,480,51,429,2.99,130,120,10,0.8938,0.9061,0.9231,0.7476
34,2023-01-02,PRESS-01,Part-B,Morning,480,15,465,1.87,190,167,23,0.9688,0.7641,0.8789,0.6506
35,2023-01-02,PRESS-01,Part-B,Afternoon,480,75,405,1.83,169,160,9,0.8438,0.7636,0.9467,0.61
36,2023-01-02,PRESS-01,Part-B,Night,480,8,472,2.86,159,141,18,0.9833,0.9634,0.8868,0.8401
37,2023-01-02,WELD-01,Part-D,Morning,480,35,445,2.5,143,127,16,0.9271,0.8034,0.8881,0.6615
38,2023-01-02,WELD-01,Part-A,Afternoon,480,31,449,2.68,159,143,16,0.9354,0.949,0.8994,0.7984
39,2023-01-02,WELD-01,Part-A,Night,480,84,396,2.15,157,146,11,0.825,0.8524,0.9299,0.6539
40,2023-01-02,WELD-02,Part-C,Morning,480,86,394,2.48,144,127,17,0.8208,0.9064,0.8819,0.6561
41,2023-01-02,WELD-02,Part-D,Afternoon,480,102,378,2.79,110,99,11,0.7875,0.8119,0.9,0.5754
42,2023-01-02,WELD-02,Part-A,Night,480,17,463,2.13,178,161,17,0.9646,0.8189,0.9045,0.7145
43,2023-01-03,CNC-01,Part-A,Morning,480,56,424,2.71,150,133,17,0.8833,0.9587,0.8867,0.7509
44,2023-01-03,CNC-01,Part-D,Afternoon,480,11,469,2.89,156,140,16,0.9771,0.9613,0.8974,0.8429
45,2023-01-03,CNC-01,Part-D,Night,480,61,419,1.82,195,172,23,0.8729,0.847,0.8821,0.6522
46,2023-01-03,CNC-02,Part-D,Morning,480,0,480,2.98,131,126,5,1.0,0.8133,0.9618,0.7822
47,2023-01-03,CNC-02,Part-D,Afternoon,480,36,444,2.13,206,203,3,0.925,0.9882,0.9854,0.9007
48,2023-01-03,CNC-02,Part-A,Night,480,19,461,1.78,208,184,24,0.9604,0.8031,0.8846,0.6823
49,2023-01-03,LATHE-01,Part-B,Morning,480,95,385,1.97,149,138,11,0.8021,0.7624,0.9262,0.5664
50,2023-01-03,LATHE-01,Part-A,Afternoon,480,7,473,2.94,123,110,13,0.9854,0.7645,0.8943,0.6737
51,2023-01-03,LATHE-01,Part-B,Night,480,86,394,2.79,120,118,2,0.8208,0.8497,0.9833,0.6858
52,2023-01-03,LATHE-02,Part-C,Morning,480,74,406,2.39,153,141,12,0.8458,0.9007,0.9216,0.7021
53,2023-01-03,LATHE-02,Part-C,Afternoon,480,119,361,1.89,175,160,15,0.7521,0.9162,0.9143,0.63
54,2023-01-03,LATHE-02,Part-A,Night,480,50,430,1.7,230,213,17,0.8958,0.9093,0.9261,0.7544
55,2023-01-03,PRESS-01,Part-A,Morning,480,1,479,2.19,218,215,3,0.9979,0.9967,0.9862,0.9809
56,2023-01-03,PRESS-01,Part-A,Afternoon,480,68,412,1.82,184,180,4,0.8583,0.8128,0.9783,0.6825
57,2023-01-03,PRESS-01,Part-C,Night,480,112,368,1.87,161,149,12,0.7667,0.8181,0.9255,0.5805
58,2023-01-03,WELD-01,Part-C,Morning,480,78,402,2.98,128,120,8,0.8375,0.9489,0.9375,0.745
59,2023-01-03,WELD-01,Part-A,Afternoon,480,119,361,2.5,142,127,15,0.7521,0.9834,0.8944,0.6615
60,2023-01-03,WELD-01,Part-B,Night,480,113,367,1.66,196,178,18,0.7646,0.8865,0.9082,0.6156
61,2023-01-03,WELD-02,Part-D,Morning,480,91,389,2.01,178,173,5,0.8104,0.9197,0.9719,0.7244
62,2023-01-03,WELD-02,Part-D,Afternoon,480,32,448,2.86,150,133,17,0.9333,0.9576,0.8867,0.7925
63,2023-01-03,WELD-02,Part-C,Night,480,106,374,1.92,146,140,6,0.7792,0.7495,0.9589,0.56
64,2023-01-04,CNC-01,Part-A,Morning,480,20,460,2.61,156,144,12,0.9583,0.8851,0.9231,0.783
65,2023-01-04,CNC-01,Part-A,Afternoon,480,14,466,1.61,280,274,6,0.9708,0.9674,0.9786,0.9191
66,2023-01-04,CNC-01,Part-A,Night,480,106,374,2.05,162,150,12,0.7792,0.888,0.9259,0.6407
67,2023-01-04,CNC-02,Part-A,Morning,480,39,441,2.05,211,208,3,0.9187,0.9808,0.9858,0.8883
68,2023-01-04,CNC-02,Part-C,Afternoon,480,115,365,2.04,164,156,8,0.7604,0.9166,0.9512,0.663
69,2023-01-04,CNC-02,Part-B,Night,480,99,381,2.34,157,154,3,0.7937,0.9643,0.9809,0.7507
70,2023-01-04,LATHE-01,Part-B,Morning,480,118,362,2.89,121,119,2,0.7542,0.966,0.9835,0.7165
71,2023-01-04,LATHE-01,Part-D,Afternoon,480,112,368,2.12,137,134,3,0.7667,0.7892,0.9781,0.5918
72,2023-01-04,LATHE-01,Part-B,Night,480,102,378,2.5,141,127,14,0.7875,0.9325,0.9007,0.6614
73,2023-01-04,LATHE-02,Part-D,Morning,480,100,380,2.55,126,111,15,0.7917,0.8455,0.881,0.5897
74,2023-01-04,LATHE-02,Part-B,Afternoon,480,28,452,1.8,245,225,20,0.9417,0.9757,0.9184,0.8438
75,2023-01-04,LATHE-02,Part-A,Night,480,28,452,1.54,234,214,20,0.9417,0.7973,0.9145,0.6866
76,2023-01-04,PRESS-01,Part-C,Morning,480,98,382,1.92,181,167,14,0.7958,0.9097,0.9227,0.668
77,2023-01-04,PRESS-01,Part-C,Afternoon,480,120,360,1.54,226,205,21,0.75,0.9668,0.9071,0.6577
78,2023-01-04,PRESS-01,Part-C,Night,480,4,476,1.66,246,236,10,0.9917,0.8579,0.9593,0.8162
79,2023-01-04,WELD-01,Part-B,Morning,480,55,425,2.41,154,142,12,0.8854,0.8733,0.9221,0.713
80,2023-01-04,WELD-01,Part-B,Afternoon,480,32,448,1.57,245,229,16,0.9333,0.8586,0.9347,0.749
81,2023-01-04,WELD-01,Part-C,Night,480,46,434,2.15,199,195,4,0.9042,0.9858,0.9799,0.8734
82,2023-01-04,WELD-02,Part-C,Morning,480,84,396,2.77,132,120,12,0.825,0.9233,0.9091,0.6925
83,2023-01-04,WELD-02,Part-B,Afternoon,480,85,395,2.11,159,145,14,0.8229,0.8493,0.9119,0.6373
84,2023-01-04,WELD-02,Part-B,Night,480,24,456,2.13,210,200,10,0.95,0.9809,0.9524,0.8875
85,2023-01-05,CNC-01,Part-C,Morning,480,78,402,2.35,145,140,5,0.8375,0.8476,0.9655,0.6854
86,2023-01-05,CNC-01,Part-C,Afternoon,480,36,444,1.82,230,217,13,0.925,0.9428,0.9435,0.8228
87,2023-01-05,CNC-01,Part-B,Night,480,59,421,2.16,179,167,12,0.8771,0.9184,0.933,0.7516
88,2023-01-05,CNC-02,Part-C,Morning,480,84,396,1.63,213,202,11,0.825,0.8767,0.9484,0.686
89,2023-01-05,CNC-02,Part-B,Afternoon,480,11,469,2.73,161,153,8,0.9771,0.9372,0.9503,0.8702
90,2023-01-05,CNC-02,Part-D,Night,480,103,377,1.8,158,143,15,0.7854,0.7544,0.9051,0.5363
91,2023-01-05,LATHE-01,Part-B,Morning,480,78,402,2.77,111,102,9,0.8375,0.7649,0.9189,0.5887
92,2023-01-05,LATHE-01,Part-A,Afternoon,480,91,389,2.54,133,120,13,0.8104,0.8684,0.9023,0.635
93,2023-01-05,LATHE-01,Part-D,Night,480,114,366,2.63,131,116,15,0.7625,0.9413,0.8855,0.6356
94,2023-01-05,LATHE-02,Part-A,Morning,480,28,452,1.76,254,237,17,0.9417,0.989,0.9331,0.869
95,2023-01-05,LATHE-02,Part-D,Afternoon,480,71,409,1.87,210,195,15,0.8521,0.9601,0.9286,0.7597
96,2023-01-05,LATHE-02,Part-D,Night,480,85,395,2.3,152,139,13,0.8229,0.8851,0.9145,0.6661
97,2023-01-05,PRESS-01,Part-D,Morning,480,78,402,2.72,143,132,11,0.8375,0.9676,0.9231,0.748
98,2023-01-05,PRESS-01,Part-B,Afternoon,480,114,366,1.74,203,188,15,0.7625,0.9651,0.9261,0.6815
99,2023-01-05,PRESS-01,Part-B,Night,480,107,373,2.46,142,133,9,0.7771,0.9365,0.9366,0.6816
100,2023-01-05,WELD-01,Part-C,Morning,480,35,445,2.16,191,173,18,0.9271,0.9271,0.9058,0.7785
101,2023-01-05,WELD-01,Part-D,Afternoon,480,40,440,2.84,119,106,13,0.9167,0.7681,0.8908,0.6272
102,2023-01-05,WELD-01,Part-C,Night,480,88,392,1.73,182,168,14,0.8167,0.8032,0.9231,0.6055
103,2023-01-05,WELD-02,Part-D,Morning,480,69,411,2.2,143,138,5,0.8562,0.7655,0.965,0.6325
104,2023-01-05,WELD-02,Part-D,Afternoon,480,115,365,2.65,135,119,16,0.7604,0.9801,0.8815,0.657
105,2023-01-05,WELD-02,Part-D,Night,480,61,419,1.51,232,223,9,0.8729,0.8361,0.9612,0.7015
106,2023-01-06,CNC-01,Part-B,Morning,480,68,412,2.62,139,131,8,0.8583,0.8839,0.9424,0.715
107,2023-01-06,CNC-01,Part-C,Afternoon,480,62,418,1.83,196,173,23,0.8708,0.8581,0.8827,0.6596
108,2023-01-06,CNC-01,Part-D,Night,480,85,395,2.52,133,119,14,0.8229,0.8485,0.8947,0.6247
109,2023-01-06,CNC-02,Part-D,Morning,480,117,363,1.69,194,171,23,0.7562,0.9032,0.8814,0.602
110,2023-01-06,CNC-02,Part-B,Afternoon,480,75,405,2.35,130,123,7,0.8438,0.7543,0.9462,0.6022
111,2023-01-06,CNC-02,Part-B,Night,480,110,370,2.19,128,117,11,0.7708,0.7576,0.9141,0.5338
112,2023-01-06,LATHE-01,Part-D,Morning,480,58,422,1.99,199,183,16,0.8792,0.9384,0.9196,0.7587
113,2023-01-06,LATHE-01,Part-A,Afternoon,480,32,448,2.75,141,135,6,0.9333,0.8655,0.9574,0.7734
114,2023-01-06,LATHE-01,Part-A,Night,480,44,436,1.84,181,178,3,0.9083,0.7639,0.9834,0.6823
115,2023-01-06,LATHE-02,Part-B,Morning,480,96,384,1.55,201,195,6,0.8,0.8113,0.9701,0.6296
116,2023-01-06,LATHE-02,Part-B,Afternoon,480,30,450,1.69,244,229,15,0.9375,0.9164,0.9385,0.8063
117,2023-01-06,LATHE-02,Part-A,Night,480,59,421,2.55,155,139,16,0.8771,0.9388,0.8968,0.7384
118,2023-01-06,PRESS-01,Part-A,Morning,480,99,381,2.73,138,123,15,0.7937,0.9888,0.8913,0.6995
119,2023-01-06,PRESS-01,Part-D,Afternoon,480,118,362,1.97,168,165,3,0.7542,0.9143,0.9821,0.6772
120,2023-01-06,PRESS-01,Part-B,Night,480,120,360,2.57,107,102,5,0.75,0.7639,0.9533,0.5462
121,2023-01-06,WELD-01,Part-A,Morning,480,13,467,2.55,151,144,7,0.9729,0.8245,0.9536,0.7649
122,2023-01-06,WELD-01,Part-D,Afternoon,480,101,379,2.98,120,110,10,0.7896,0.9435,0.9167,0.6829
123,2023-01-06,WELD-01,Part-D,Night,480,84,396,2.06,168,154,14,0.825,0.8739,0.9167,0.6609
124,2023-01-06,WELD-02,Part-D,Morning,480,105,375,2.24,143,131,12,0.7812,0.8542,0.9161,0.6113
125,2023-01-06,WELD-02,Part-C,Afternoon,480,90,390,1.73,179,167,12,0.8125,0.794,0.933,0.6019
126,2023-01-06,WELD-02,Part-D,Night,480,78,402,2.71,131,122,9,0.8375,0.8831,0.9313,0.6888
127,2023-01-07,CNC-01,Part-A,Morning,480,105,375,2.6,117,113,4,0.7812,0.8112,0.9658,0.612
128,2023-01-07,CNC-01,Part-D,Afternoon,480,35,445,2.82,127,118,9,0.9271,0.8048,0.9291,0.6932
129,2023-01-07,CNC-01,Part-B,Night,480,43,437,1.54,273,245,28,0.9104,0.9621,0.8974,0.786
130,2023-01-07,CNC-02,Part-C,Morning,480,45,435,2.7,134,130,4,0.9062,0.8317,0.9701,0.7312
131,2023-01-07,CNC-02,Part-D,Afternoon,480,71,409,1.52,265,235,30,0.8521,0.9848,0.8868,0.7442
132,2023-01-07,CNC-02,Part-D,Night,480,62,418,2.33,145,135,10,0.8708,0.8083,0.931,0.6553
133,2023-01-07,LATHE-01,Part-B,Morning,480,57,423,2.69,121,109,12,0.8812,0.7695,0.9008,0.6108
134,2023-01-07,LATHE-01,Part-C,Afternoon,480,39,441,2.5,148,139,9,0.9187,0.839,0.9392,0.7239
135,2023-01-07,LATHE-01,Part-D,Night,480,54,426,2.99,126,115,11,0.8875,0.8844,0.9127,0.7164
136,2023-01-07,LATHE-02,Part-C,Morning,480,34,446,1.96,183,175,8,0.9292,0.8042,0.9563,0.7146
137,2023-01-07,LATHE-02,Part-B,Afternoon,480,15,465,2.61,175,167,8,0.9688,0.9823,0.9543,0.9082
138,2023-01-07,LATHE-02,Part-C,Night,480,27,453,2.61,142,134,8,0.9437,0.8181,0.9437,0.7286
139,2023-01-07,PRESS-01,Part-C,Morning,480,12,468,2.75,140,128,12,0.975,0.8226,0.9143,0.7333
140,2023-01-07,PRESS-01,Part-A,Afternoon,480,1,479,2.56,146,129,17,0.9979,0.7803,0.8836,0.688
141,2023-01-07,PRESS-01,Part-D,Night,480,70,410,1.94,208,197,11,0.8542,0.9842,0.9471,0.7962
142,2023-01-07,WELD-01,Part-D,Morning,480,13,467,2.81,148,137,11,0.9729,0.8905,0.9257,0.802
143,2023-01-07,WELD-01,Part-D,Afternoon,480,43,437,1.78,187,183,4,0.9104,0.7617,0.9786,0.6786
144,2023-01-07,WELD-01,Part-A,Night,480,14,466,2.73,145,128,17,0.9708,0.8495,0.8828,0.728
145,2023-01-07,WELD-02,Part-B,Morning,480,19,461,1.72,238,217,21,0.9604,0.888,0.9118,0.7776
146,2023-01-07,WELD-02,Part-B,Afternoon,480,15,465,2.34,169,159,10,0.9688,0.8505,0.9408,0.7752
147,2023-01-07,WELD-02,Part-D,Night,480,99,381,2.28,144,133,11,0.7937,0.8617,0.9236,0.6317
148,2023-01-08,CNC-01,Part-A,Morning,480,39,441,2.35,143,140,3,0.9187,0.762,0.979,0.6853
149,2023-01-08,CNC-01,Part-B,Afternoon,480,97,383,1.81,169,160,9,0.7979,0.7987,0.9467,0.6033
150,2023-01-08,CNC-01,Part-D,Night,480,30,450,1.76,196,172,24,0.9375,0.7666,0.8776,0.6307
151,2023-01-08,CNC-02,Part-C,Morning,480,88,392,2.39,134,121,13,0.8167,0.817,0.903,0.6025
152,2023-01-08,CNC-02,Part-C,Afternoon,480,89,391,2.79,107,96,11,0.8146,0.7635,0.8972,0.558
153,2023-01-08,CNC-02,Part-B,Night,480,100,380,2.69,126,122,4,0.7917,0.8919,0.9683,0.6837
154,2023-01-08,LATHE-01,Part-C,Morning,480,54,426,1.67,205,183,22,0.8875,0.8036,0.8927,0.6367
155,2023-01-08,LATHE-01,Part-C,Afternoon,480,105,375,1.71,167,161,6,0.7812,0.7615,0.9641,0.5735
156,2023-01-08,LATHE-01,Part-C,Night,480,56,424,1.69,231,221,10,0.8833,0.9207,0.9567,0.778
157,2023-01-08,LATHE-02,Part-D,Morning,480,64,416,2.31,154,145,9,0.8667,0.8551,0.9416,0.6978
158,2023-01-08,LATHE-02,Part-A,Afternoon,480,94,386,1.98,158,140,18,0.8042,0.8105,0.8861,0.5776
159,2023-01-08,LATHE-02,Part-B,Night,480,97,383,2.51,124,109,15,0.7979,0.8126,0.879,0.5699
